feedstock,tillage_type,region_production,region_destination,equipment_group,feedstock_measure,feedstock_amount,unit_numerator,unit_denominator,source_lon,source_lat,destination_lon,destination_lat
forest residues,no tillage,05047,29021,south,harvested,3314.20000,acre,,-93.87459,35.48706,-94.80496,39.67595
forest residues,no tillage,05055,05063,south,harvested,894.80000,acre,,-90.52715,36.11635,-91.58219,35.73479
forest residues,no tillage,05049,05063,south,harvested,6007.80000,acre,,-91.80361,36.37455,-91.58219,35.73479
forest residues,no tillage,05053,05003,south,harvested,7842.10000,acre,,-92.44206,34.27689,-91.79584,33.20198
forest residues,no tillage,05061,48037,south,harvested,3021.60000,acre,,-93.95419,34.05170,-94.39487,33.47649
forest residues,no tillage,05057,48037,south,harvested,4165.90000,acre,,-93.71467,33.74258,-94.39487,33.47649
forest residues,no tillage,05051,47039,south,harvested,5594.20000,acre,,-93.10609,34.58084,-88.11233,35.61490
forest residues,no tillage,05067,05063,south,harvested,366.90000,acre,,-91.20377,35.62258,-91.58219,35.73479
forest residues,no tillage,05069,05041,south,harvested,1814.50000,acre,,-91.96120,34.27689,-91.30305,33.81824
forest residues,no tillage,05059,48291,south,harvested,3906.70000,acre,,-93.01339,34.32780,-94.86440,30.18875
forest residues,no tillage,05075,05063,south,harvested,1378.90000,acre,,-91.08693,36.06938,-91.58219,35.73479
forest residues,no tillage,05077,05107,south,harvested,415.00000,acre,,-90.82305,34.76932,-90.82395,34.38173
forest residues,no tillage,05071,22089,south,harvested,2851.50000,acre,,-93.46283,35.54890,-90.40272,29.93059
forest residues,no tillage,05073,48037,south,harvested,1334.30000,acre,,-93.59218,33.25049,-94.39487,33.47649
forest residues,no tillage,05081,48037,south,harvested,3554.90000,acre,,-94.22636,33.73944,-94.39487,33.47649
forest residues,no tillage,05063,05063,south,harvested,3089.00000,acre,,-91.58219,35.73479,-91.58219,35.73479
forest residues,no tillage,05079,05107,south,harvested,1721.40000,acre,,-91.70938,33.97968,-90.82395,34.38173
forest residues,no tillage,05087,48201,south,harvested,4211.70000,acre,,-93.69716,36.03365,-95.38597,29.83394
forest residues,no tillage,05089,48291,south,harvested,5724.10000,acre,,-92.70993,36.28061,-94.86440,30.18875
forest residues,no tillage,05091,48037,south,harvested,948.90000,acre,,-93.86918,33.31639,-94.39487,33.47649
forest residues,no tillage,05095,05041,south,harvested,217.90000,acre,,-91.21285,34.67081,-91.30305,33.81824
forest residues,no tillage,05097,17075,south,harvested,2308.30000,acre,,-93.66863,34.54258,-87.82548,40.74776
forest residues,no tillage,05099,47037,south,harvested,4806.90000,acre,,-93.29135,33.70067,-86.78086,36.18705
forest residues,no tillage,05101,40013,south,harvested,2012.90000,acre,,-93.21484,35.92473,-96.24537,33.92190
forest residues,no tillage,05103,05003,south,harvested,5242.20000,acre,,-92.91070,33.58830,-91.79584,33.20198
forest residues,no tillage,05083,48279,south,harvested,5779.20000,acre,,-93.65406,35.22439,-102.35173,34.06948
forest residues,no tillage,05065,05063,south,harvested,6961.00000,acre,,-91.89707,36.06442,-91.58219,35.73479
forest residues,no tillage,05111,05063,south,harvested,785.60000,acre,,-90.66284,35.57310,-91.58219,35.73479
forest residues,no tillage,05113,48037,south,harvested,7294.00000,acre,,-94.19848,34.45811,-94.39487,33.47649
forest residues,no tillage,05115,29095,south,harvested,4898.00000,acre,,-93.07426,35.42376,-94.35836,39.03519
forest residues,no tillage,05119,05063,south,harvested,3224.80000,acre,,-92.31393,34.75248,-91.58219,35.73479
forest residues,no tillage,05121,05063,south,harvested,3331.40000,acre,,-91.00499,36.30747,-91.58219,35.73479
forest residues,no tillage,05125,18065,south,harvested,5080.10000,acre,,-92.66022,34.63506,-85.38839,39.93190
forest residues,no tillage,05127,08063,south,harvested,6122.20000,acre,,-94.07851,34.88347,-102.60183,39.30621
forest residues,no tillage,05085,05063,south,harvested,366.20000,acre,,-91.88750,34.77914,-91.58219,35.73479
forest residues,no tillage,05133,48037,south,harvested,2946.00000,acre,,-94.26970,33.97178,-94.39487,33.47649
forest residues,no tillage,05135,05063,south,harvested,7918.50000,acre,,-91.51273,36.19363,-91.58219,35.73479
forest residues,no tillage,05137,05063,south,harvested,6321.40000,acre,,-92.21938,35.91856,-91.58219,35.73479
forest residues,no tillage,05139,05003,south,harvested,7891.50000,acre,,-92.58127,33.19789,-91.79584,33.20198
forest residues,no tillage,05141,05063,south,harvested,7373.80000,acre,,-92.52848,35.57665,-91.58219,35.73479
forest residues,no tillage,05143,47037,south,harvested,4921.40000,acre,,-94.23998,35.99346,-86.78086,36.18705
forest residues,no tillage,05145,05063,south,harvested,3158.10000,acre,,-91.76264,35.27737,-91.58219,35.73479
forest residues,no tillage,05147,05063,south,harvested,1002.90000,acre,,-91.23185,35.17898,-91.58219,35.73479
forest residues,no tillage,05149,29021,south,harvested,6996.70000,acre,,-93.40520,35.03082,-94.80496,39.67595
forest residues,no tillage,05129,27063,south,harvested,5556.10000,acre,,-92.67955,35.91645,-95.15387,43.67422
forest residues,no tillage,05131,22043,south,harvested,3253.00000,acre,,-94.23415,35.19073,-92.56194,31.59215
forest residues,no tillage,08015,08063,inland west,harvested,1281.80000,acre,,-106.18275,38.74066,-102.60183,39.30621
forest residues,no tillage,08027,35009,inland west,harvested,246.20000,acre,,-105.34431,38.07760,-103.37467,34.62830
forest residues,no tillage,08037,04013,inland west,harvested,578.20000,acre,,-106.64613,39.63780,-112.76812,33.27676
forest residues,no tillage,08043,20111,inland west,harvested,283.60000,acre,,-105.45655,38.47713,-96.15223,38.45462
forest residues,no tillage,08049,08031,inland west,harvested,1442.20000,acre,,-106.13603,40.08510,-104.95491,39.76444
forest residues,no tillage,08051,08063,inland west,harvested,2284.10000,acre,,-106.97587,38.70072,-102.60183,39.30621
forest residues,no tillage,05105,48439,south,harvested,4543.50000,acre,,-92.88095,34.94375,-97.29168,32.77018
forest residues,no tillage,08013,08031,inland west,harvested,1696.80000,acre,,-105.34483,40.08795,-104.95491,39.76444
forest residues,no tillage,05045,05063,south,harvested,2169.90000,acre,,-92.33319,35.10533,-91.58219,35.73479
forest residues,no tillage,18061,05003,north central,harvested,1287.20000,acre,,-86.13402,38.19039,-91.79584,33.20198
